epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2066.2,0.65168,0.8215,1.06068,0.90845,0.81883,0.8945,0.76742,0.63972,0.54188,1.02067,0.000312497,0.000312497,0.000312497
43,2114.91,0.6388,0.82253,1.05534,0.87989,0.82437,0.89828,0.76881,0.63819,0.54564,1.02058,0.000307289,0.000307289,0.000307289
44,2169.67,0.64091,0.82349,1.05794,0.91951,0.83245,0.90473,0.77339,0.62427,0.52992,1.01193,0.000302082,0.000302082,0.000302082
45,2218.25,0.63646,0.8282,1.05137,0.91593,0.8155,0.90218,0.77811,0.62435,0.52291,1.01565,0.000296874,0.000296874,0.000296874
46,2267.27,0.63712,0.80462,1.05176,0.88849,0.83345,0.9069,0.77617,0.63866,0.51803,1.01344,0.000291667,0.000291667,0.000291667
47,2315.69,0.63732,0.79831,1.05375,0.91308,0.83062,0.91062,0.77446,0.64209,0.51227,1.01531,0.00028646,0.00028646,0.00028646
48,2364.22,0.62224,0.79027,1.04425,0.92612,0.83827,0.91445,0.78034,0.61816,0.49807,1.00617,0.000281252,0.000281252,0.000281252
49,2413.48,0.62937,0.78311,1.04747,0.90886,0.83736,0.90533,0.77074,0.62764,0.52975,1.00964,0.000276045,0.000276045,0.000276045
50,2461.78,0.61657,0.76678,1.04205,0.95554,0.81681,0.90989,0.7777,0.61414,0.49226,1.00506,0.000270837,0.000270837,0.000270837
51,2510.2,0.62724,0.77514,1.04743,0.95448,0.81731,0.91176,0.78263,0.61849,0.50016,1.00624,0.00026563,0.00026563,0.00026563
52,2558.62,0.61077,0.76304,1.04237,0.95469,0.82123,0.91258,0.78592,0.6107,0.4902,1.00185,0.000260423,0.000260423,0.000260423
53,2607.34,0.60476,0.73663,1.03703,0.94627,0.83575,0.91636,0.78464,0.61824,0.48467,1.00687,0.000255215,0.000255215,0.000255215
54,2655.69,0.61728,0.74913,1.03796,0.93859,0.83381,0.91825,0.78889,0.61665,0.48176,1.00184,0.000250008,0.000250008,0.000250008
55,2704.13,0.60665,0.75032,1.0341,0.91069,0.85746,0.92193,0.79202,0.61015,0.47057,1.00586,0.0002448,0.0002448,0.0002448
56,2752.38,0.60779,0.73712,1.03424,0.93181,0.8517,0.92412,0.79462,0.60724,0.46049,1.00357,0.000239593,0.000239593,0.000239593
57,2800.78,0.60993,0.7234,1.03277,0.93218,0.85505,0.92353,0.79109,0.6165,0.47227,1.00167,0.000234386,0.000234386,0.000234386
58,2849.24,0.59402,0.72443,1.02879,0.93066,0.8558,0.92682,0.79392,0.60993,0.46205,0.99877,0.000229178,0.000229178,0.000229178
59,2897.78,0.58669,0.70428,1.02404,0.92357,0.86981,0.92528,0.79088,0.61451,0.45271,1.00297,0.000223971,0.000223971,0.000223971
60,2946.1,0.60703,0.71302,1.03308,0.95543,0.85885,0.92638,0.79439,0.60822,0.45614,0.99911,0.000218763,0.000218763,0.000218763
61,2994.51,0.59411,0.71132,1.02502,0.94468,0.85762,0.92582,0.79631,0.60906,0.46273,1.0003,0.000213556,0.000213556,0.000213556
62,3049.59,0.60009,0.69446,1.02774,0.93143,0.8671,0.9279,0.79425,0.60441,0.44919,0.9951,0.000208349,0.000208349,0.000208349
63,3098.13,0.58339,0.70397,1.01962,0.93286,0.87282,0.93172,0.80299,0.60001,0.44168,0.99341,0.000203141,0.000203141,0.000203141
64,3146.5,0.59531,0.70013,1.02788,0.94393,0.86402,0.93487,0.80611,0.59745,0.43469,0.98902,0.000197934,0.000197934,0.000197934
65,3194.68,0.57824,0.67634,1.0155,0.93453,0.87736,0.9316,0.80059,0.59503,0.4392,0.98954,0.000192726,0.000192726,0.000192726
66,3242.82,0.58438,0.6853,1.01659,0.95364,0.86329,0.93264,0.80067,0.60351,0.44245,0.98928,0.000187519,0.000187519,0.000187519
