epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3323,0.83502,3.46507,1.18711,0.25608,0.49108,0.28634,0.22604,0.79103,2.05933,1.17751,0.00017454,0.00017454,0.00017454
2,119.887,0.75562,2.46642,1.09863,0.46539,0.46929,0.50445,0.41286,0.74937,1.60716,1.10938,0.00034641,0.00034641,0.00034641
3,170.737,0.75082,1.98954,1.08929,0.66437,0.57601,0.65755,0.53277,0.7738,1.31299,1.12782,0.000514808,0.000514808,0.000514808
4,221.389,0.73422,1.68396,1.08217,0.73607,0.70541,0.77607,0.64526,0.71496,1.10373,1.06796,0.000510378,0.000510378,0.000510378
5,272.2,0.69892,1.41471,1.04996,0.82322,0.73343,0.81263,0.66343,0.76112,0.85069,1.11206,0.00050517,0.00050517,0.00050517
6,322.519,0.66881,1.2372,1.0383,0.88007,0.76101,0.8457,0.70764,0.69023,0.79227,1.03918,0.000499963,0.000499963,0.000499963
7,373.059,0.67024,1.13385,1.03407,0.82764,0.77732,0.83853,0.70991,0.66552,0.73609,1.01156,0.000494756,0.000494756,0.000494756
8,423.676,0.65983,1.07069,1.03282,0.92935,0.78966,0.89466,0.75225,0.67212,0.67665,1.01974,0.000489548,0.000489548,0.000489548
9,474.479,0.64481,0.99398,1.01986,0.90342,0.78335,0.87678,0.73932,0.65705,0.66263,1.003,0.000484341,0.000484341,0.000484341
10,525.1,0.6316,0.95423,1.02147,0.93891,0.8126,0.90328,0.75423,0.68912,0.62254,1.0317,0.000479133,0.000479133,0.000479133
11,576.119,0.63739,0.92475,1.01216,0.94222,0.82269,0.90995,0.7667,0.64556,0.57852,1.00118,0.000473926,0.000473926,0.000473926
12,626.386,0.61629,0.87125,1.0029,0.92697,0.83898,0.90407,0.76618,0.65472,0.5661,1.00009,0.000468719,0.000468719,0.000468719
13,676.463,0.62159,0.83528,1.00311,0.92617,0.78572,0.88776,0.74375,0.65039,0.59083,1.00601,0.000463511,0.000463511,0.000463511
14,727.151,0.613,0.84493,1.00013,0.93395,0.83473,0.9186,0.77498,0.64938,0.5553,0.99275,0.000458304,0.000458304,0.000458304
15,778.13,0.61033,0.80877,1.00103,0.94446,0.85589,0.93088,0.79281,0.62536,0.4965,0.9822,0.000453096,0.000453096,0.000453096
16,828.411,0.59766,0.77633,0.99358,0.92625,0.86146,0.93347,0.79373,0.62983,0.49275,0.99015,0.000447889,0.000447889,0.000447889
17,879.036,0.5958,0.76588,0.99198,0.94102,0.85827,0.93755,0.79018,0.61755,0.49191,0.97626,0.000442682,0.000442682,0.000442682
18,930.11,0.59022,0.75161,0.98605,0.94212,0.86394,0.93458,0.7908,0.62379,0.49103,0.97534,0.000437474,0.000437474,0.000437474
