epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2908,2.6809,4.74412,3.81444,0.41503,0.25972,0.11849,0.07188,1.73569,4.43497,2.77983,0.00017454,0.00017454,0.00017454
2,105.318,1.52948,3.38623,2.52083,0.20816,0.41269,0.21171,0.15908,1.19913,2.41613,1.93721,0.00034641,0.00034641,0.00034641
3,154.673,1.24933,2.9006,1.95777,0.16664,0.49876,0.22608,0.16553,1.0276,2.75509,1.59464,0.000514808,0.000514808,0.000514808
4,203.815,1.11135,2.61033,1.70796,0.17858,0.50247,0.25407,0.19036,0.96027,1.95903,1.4657,0.000510378,0.000510378,0.000510378
5,252.909,0.99132,2.26673,1.54298,0.30907,0.48468,0.30626,0.23219,0.9049,1.77976,1.39871,0.00050517,0.00050517,0.00050517
6,302.07,0.92759,2.05065,1.45623,0.33568,0.4904,0.38781,0.30352,0.79673,1.6353,1.26892,0.000499963,0.000499963,0.000499963
7,351.092,0.8888,1.87455,1.40528,0.40523,0.50051,0.47481,0.38349,0.77952,1.49744,1.2307,0.000494756,0.000494756,0.000494756
8,400.053,0.86557,1.73889,1.37504,0.49925,0.58876,0.54642,0.43606,0.77903,1.37939,1.22971,0.000489548,0.000489548,0.000489548
9,449.129,0.84446,1.6062,1.3493,0.53315,0.61676,0.58011,0.47012,0.76086,1.30414,1.20919,0.000484341,0.000484341,0.000484341
10,497.963,0.81159,1.48848,1.31999,0.57753,0.63956,0.65781,0.53657,0.74774,1.18647,1.18571,0.000479133,0.000479133,0.000479133
11,546.87,0.80068,1.39869,1.30602,0.67936,0.65964,0.68235,0.56669,0.73553,1.1176,1.1651,0.000473926,0.000473926,0.000473926
12,595.72,0.78518,1.31175,1.28353,0.66711,0.64411,0.70839,0.58609,0.74005,1.08762,1.18097,0.000468719,0.000468719,0.000468719
13,644.831,0.77828,1.22882,1.28575,0.73822,0.65955,0.73319,0.60712,0.73022,1.04407,1.17452,0.000463511,0.000463511,0.000463511
14,693.86,0.76087,1.19466,1.26603,0.84013,0.71013,0.80529,0.67306,0.69571,0.87351,1.12848,0.000458304,0.000458304,0.000458304
15,742.775,0.7491,1.12192,1.25227,0.87754,0.73736,0.82715,0.69475,0.6704,0.7915,1.10237,0.000453096,0.000453096,0.000453096
16,791.711,0.72939,1.08153,1.23632,0.87593,0.7677,0.84181,0.71243,0.67037,0.7525,1.10722,0.000447889,0.000447889,0.000447889
17,841.126,0.72032,1.04221,1.22112,0.91643,0.7795,0.85926,0.71708,0.68066,0.71126,1.10544,0.000442682,0.000442682,0.000442682
18,890.246,0.71083,0.98457,1.21488,0.89697,0.77041,0.86509,0.7246,0.68005,0.68812,1.11278,0.000437474,0.000437474,0.000437474
19,939.64,0.70351,0.97171,1.20825,0.90906,0.79795,0.87184,0.73506,0.66611,0.64354,1.09748,0.000432267,0.000432267,0.000432267
20,988.761,0.69356,0.94348,1.20725,0.91761,0.78883,0.87128,0.7342,0.67025,0.63308,1.09388,0.000427059,0.000427059,0.000427059
21,1037.77,0.70176,0.95266,1.20399,0.91247,0.77803,0.87468,0.72473,0.69356,0.65725,1.1056,0.000421852,0.000421852,0.000421852
22,1086.75,0.68016,0.89143,1.19071,0.91201,0.81069,0.89036,0.74997,0.65571,0.58001,1.07863,0.000416645,0.000416645,0.000416645
23,1136.05,0.68862,0.8913,1.19138,0.88458,0.78525,0.87896,0.73666,0.6512,0.62972,1.06802,0.000411437,0.000411437,0.000411437
24,1185.14,0.66338,0.87738,1.18627,0.93213,0.80902,0.90069,0.75281,0.65929,0.57432,1.09411,0.00040623,0.00040623,0.00040623
25,1234.13,0.67024,0.85338,1.17989,0.91752,0.82122,0.90242,0.76233,0.63743,0.57819,1.07144,0.000401022,0.000401022,0.000401022
26,1283.17,0.67714,0.84854,1.17606,0.90624,0.80209,0.89774,0.75896,0.6434,0.56084,1.0647,0.000395815,0.000395815,0.000395815
27,1332.42,0.66091,0.83007,1.16553,0.92842,0.81145,0.89821,0.75582,0.65095,0.56172,1.07105,0.000390608,0.000390608,0.000390608
28,1381.36,0.64408,0.82116,1.15631,0.93362,0.82834,0.90297,0.764,0.62483,0.53488,1.05164,0.0003854,0.0003854,0.0003854
29,1431.13,0.6482,0.81198,1.14905,0.9354,0.81238,0.89787,0.76071,0.63492,0.55531,1.05436,0.000380193,0.000380193,0.000380193
30,1480,0.64894,0.78848,1.15773,0.94171,0.81525,0.91016,0.77126,0.62672,0.51143,1.05075,0.000374985,0.000374985,0.000374985
31,1529.08,0.63957,0.78335,1.15073,0.93281,0.83978,0.91235,0.77333,0.62258,0.49966,1.04361,0.000369778,0.000369778,0.000369778
32,1577.8,0.6351,0.78144,1.14452,0.93779,0.82693,0.91065,0.76066,0.63621,0.53133,1.05826,0.000364571,0.000364571,0.000364571
33,1626.76,0.63142,0.75681,1.14198,0.90154,0.85887,0.92178,0.77636,0.63241,0.50236,1.03824,0.000359363,0.000359363,0.000359363
34,1675.77,0.62432,0.74829,1.136,0.93368,0.82734,0.91735,0.77684,0.61109,0.49153,1.03011,0.000354156,0.000354156,0.000354156
